relativePath,problemClass,statusFolder,distance,normalizedCanonicalDistance,leftCanonicalFormSize,rightCanonicalFormSize,canonicalFormSize,predicateBodyLevenshteinDistance,rawAstTreeDistance,normalizedRawAstDistance,leftRawAstSize,rightRawAstSize,rawAstSize,candidateReward,groundTruthReward,rewardGap,rewardError
classroom_fol/BOTH/parsed-file1695_inv11.als,classroom_fol,BOTH,20.0,0.869565,23.0,14.0,23.0,80.0,33.0,0.825,40.0,21.0,40.0,0.5,1.0,0.5,0.5
classroom_fol/BOTH/parsed-file1697_inv11.als,classroom_fol,BOTH,16.0,1.142857,12.0,14.0,14.0,56.0,24.0,0.827586,29.0,21.0,29.0,0.35,1.0,0.65,0.65
classroom_fol/BOTH/parsed-file1699_inv14.als,classroom_fol,BOTH,17.0,0.653846,26.0,23.0,26.0,71.0,46.0,0.958333,48.0,42.0,48.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file169_inv11.als,classroom_fol,BOTH,14.0,0.875,16.0,14.0,16.0,62.0,23.0,0.766667,30.0,21.0,30.0,0.1,1.0,0.9,0.9
classroom_fol/BOTH/parsed-file16_inv12.als,classroom_fol,BOTH,15.0,0.833333,18.0,8.0,18.0,79.0,25.0,0.735294,34.0,15.0,34.0,0.63,1.0,0.37,0.37
classroom_fol/BOTH/parsed-file1709_inv11.als,classroom_fol,BOTH,15.0,0.789474,19.0,14.0,19.0,78.0,28.0,0.777778,36.0,21.0,36.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1711_inv15.als,classroom_fol,BOTH,8.0,0.8,6.0,10.0,10.0,25.0,11.0,0.647059,11.0,17.0,17.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1712_inv13.als,classroom_fol,BOTH,8.0,0.571429,14.0,13.0,14.0,43.0,13.0,0.65,20.0,18.0,20.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1713_inv14.als,classroom_fol,BOTH,3.0,0.130435,23.0,23.0,23.0,26.0,57.0,1.357143,40.0,42.0,42.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1717_inv11.als,classroom_fol,BOTH,15.0,1.071429,11.0,14.0,14.0,48.0,20.0,0.8,25.0,21.0,25.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1722_inv14.als,classroom_fol,BOTH,21.0,0.777778,27.0,23.0,27.0,61.0,63.0,1.369565,46.0,42.0,46.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1736_inv4.als,classroom_fol,BOTH,5.0,0.714286,7.0,7.0,7.0,16.0,7.0,0.777778,8.0,9.0,9.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1738_inv14.als,classroom_fol,BOTH,8.0,0.347826,23.0,23.0,23.0,31.0,55.0,1.25,44.0,42.0,44.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file173_inv14.als,classroom_fol,BOTH,21.0,0.913043,23.0,23.0,23.0,78.0,52.0,1.209302,43.0,42.0,43.0,0.6,1.0,0.4,0.4
classroom_fol/BOTH/parsed-file1747_inv5.als,classroom_fol,BOTH,7.0,0.777778,9.0,6.0,9.0,49.0,20.0,1.052632,19.0,7.0,19.0,0.3,1.0,0.7,0.7
classroom_fol/BOTH/parsed-file1748_inv5.als,classroom_fol,BOTH,4.0,0.571429,7.0,6.0,7.0,31.0,13.0,1.083333,12.0,7.0,12.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1749_inv15.als,classroom_fol,BOTH,17.0,0.85,20.0,10.0,20.0,69.0,22.0,0.733333,30.0,17.0,30.0,0.5,1.0,0.5,0.5
classroom_fol/BOTH/parsed-file1755_inv14.als,classroom_fol,BOTH,18.0,0.75,24.0,23.0,24.0,57.0,60.0,1.22449,49.0,42.0,49.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1762_inv5.als,classroom_fol,BOTH,7.0,0.777778,9.0,6.0,9.0,53.0,20.0,1.052632,19.0,7.0,19.0,0.980392,1.0,0.019608,0.01960799999999996
classroom_fol/BOTH/parsed-file1763_inv4.als,classroom_fol,BOTH,7.0,0.777778,9.0,7.0,9.0,30.0,10.0,0.909091,11.0,9.0,11.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1765_inv11.als,classroom_fol,BOTH,15.0,1.0,15.0,14.0,15.0,57.0,23.0,0.766667,30.0,21.0,30.0,0.1,1.0,0.9,0.9
classroom_fol/BOTH/parsed-file1768_inv11.als,classroom_fol,BOTH,16.0,0.888889,18.0,14.0,18.0,76.0,28.0,0.777778,36.0,21.0,36.0,0.4,1.0,0.6,0.6
