relativePath,status,raw-egraph,raw-egraph-debruijn,java-egglog,java-egglog-debruijn,slotted-egraph,canonical,typed-slotted-port-egraph
"classroom_fol/correct/P3dxYwCcvJbJQKbLB_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/P8hy2oGL6d5uGaoFA_inv12.als","CORRECT",false,true,false,true,true,true,true
"classroom_fol/correct/P9jBQHH54LRXS57An_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/PAuTGLW2quxcGkegJ_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/PwM8JYCFEt9Ryt5tY_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/PyZiYzken5kHLP9CX_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/Q3QMMxatSmjGwTeRn_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/QDkya3uCYwjTktZ7a_inv4.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/QTMZ5xi9ZmhFCK32v_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/QpfYrNS2YeW7oHPHm_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/Rt6LxZbmFDrCgTwNg_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/S6sdrP5JJvZZRaKJi_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/SGzdXYhpsFWrbcqRX_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/SS5P47J2qcYic6r3F_inv6.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/STmsyn6LJjfrkMv4L_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/TGahc7yGWBm2XRhvZ_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/TLhnS4yfPogHMk7KC_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/TQGrFwJA8BYNYNwtJ_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/TkZr2ZdXH3ntJRfwd_inv3.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/Ts29oubBt2h9ncDYE_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/TuMLQzzfBKr3CJxWX_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/TubcYWMWBX5Bej4AK_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/Tvv6rpioZG3MYuedj_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/W9BAaKSxejvz674bD_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/W9G4Q55XJ2ZnMPDM5_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/WGjxrcDLCnJakisdP_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/WNa9W24avPQhrnfQL_inv12.als","CORRECT",false,true,false,true,true,true,true
"classroom_fol/correct/WWERt9L9XA6uwx6kn_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/WYE8KhXKopnn3cijc_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/WqspDqEqi39kzijPP_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/WtpYmrhsNTfS5Hzof_inv12.als","CORRECT",false,true,false,true,true,true,true
"classroom_fol/correct/Wy6Ys7nva9xnpFdZq_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/XJkDT7ucFL6P4rMFw_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/XmkA7CjfncRcZEekR_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/Xrar9HZu6S5Bn6sf5_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/YETcANih2sX46Fvvm_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/YMRW7RT9F5ovvGxfk_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/YTHH782Wh3FBdhC9B_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/YoT7XzPQzDkE2xsEL_inv12.als","CORRECT",false,true,false,true,true,true,true
