relativePath,problemClass,status,leftPredicate,rightPredicate,success,equivalent,distance,parseNanos,engineNanos,totalNanos,parseCpuNanos,engineCpuNanos,totalCpuNanos,rawAstNodes,representationUnits,eclasses,enodes,unions,rebuilds,rewriteApplications,iterations,slots,slotMappings,redundantSlots,estimatedBytes,error
"classroom_fol/correct/ErvLem3rLZ3WCHkvL_inv2.als","classroom_fol","CORRECT","inv2","inv2c",true,false,9,6574104,233585,6822889,2124363,233159,2371842,19,33,30,33,3,2,6,2,10,25,0,8346,""
"classroom_fol/correct/Et3f9QEfu8xjbHFpA_inv11.als","classroom_fol","CORRECT","inv11","inv11c",true,false,17,6969052,997430,7973102,2129711,998086,3132277,54,79,75,79,4,2,20,2,63,153,0,21506,""
"classroom_fol/correct/EtfFAe6NSD5YWd6w9_inv10.als","classroom_fol","CORRECT","inv10","inv10c",true,false,13,2149253,161643,2329417,1771794,162149,1950733,45,51,49,51,2,1,11,1,48,115,0,14160,""
"classroom_fol/correct/EwdRhJiTfBhWuW3hj_inv4.als","classroom_fol","CORRECT","inv4","inv4c",true,false,14,5645005,102012,5750507,2081712,102100,2186892,27,40,37,40,3,2,10,2,15,38,0,10438,""
"classroom_fol/correct/Ewp2GxmiHBaLkRWuE_inv1.als","classroom_fol","CORRECT","inv1","inv1c",true,false,9,8644816,73742,8724508,1938740,73930,2017530,19,25,23,25,2,1,4,1,7,17,0,6394,""
"classroom_fol/correct/EyD9fMN7xrScmtLCm_inv13.als","classroom_fol","CORRECT","inv13","inv13c",true,false,14,9851651,176283,10039324,2339492,176280,2525332,36,40,38,40,2,1,17,1,0,0,0,10190,""
"classroom_fol/correct/F3Q4X5BDsXLZZj5rq_inv6.als","classroom_fol","CORRECT","inv6","inv6c",true,false,11,4460660,60522,4526072,1975602,60519,2040171,25,34,32,34,2,1,8,1,9,21,0,8740,""
"classroom_fol/correct/F3gMC7PunZbJqokwa_inv3.als","classroom_fol","CORRECT","inv3","inv3c",true,false,13,3880729,140043,4027702,2148144,136029,2289583,25,40,37,40,3,2,9,2,15,38,0,10402,""
"classroom_fol/correct/F3tcKg9ijKhr3PW4j_inv3.als","classroom_fol","CORRECT","inv3","inv3c",true,false,13,13076216,164473,13253429,1841793,164690,2017373,35,46,43,46,3,2,14,2,21,54,0,12214,""
"classroom_fol/correct/F472bnac5eRoAw6hd_inv6.als","classroom_fol","CORRECT","inv6","inv6c",true,false,11,7041213,122682,7172376,1967492,122919,2097691,33,43,41,43,2,1,7,1,27,65,0,11486,""
"classroom_fol/correct/F59oGGd6tj5aK3cNZ_inv5.als","classroom_fol","CORRECT","inv5","inv5c",true,false,15,14270681,74941,14350432,1724263,75050,1802733,26,35,33,35,2,1,7,1,17,41,0,9318,""
"classroom_fol/correct/F7nx6uqtA2aB88MYJ_inv3.als","classroom_fol","CORRECT","inv3","inv3c",true,false,27,4978971,442249,5429060,1623563,442639,2072422,41,53,50,53,3,2,15,2,23,60,0,14082,""
"classroom_fol/correct/F9uvW8rhKGLNuvDy6_inv11.als","classroom_fol","CORRECT","inv11","inv11c",true,false,28,1725556,774095,2669085,1726573,774197,2517370,61,99,94,99,5,3,22,3,88,216,0,27194,""
"classroom_fol/correct/FBxtDGTP9kgAyfJ2M_inv4.als","classroom_fol","CORRECT","inv4","inv4c",true,false,12,1615152,318136,1940289,1616183,318319,1940202,25,29,27,29,2,1,8,1,7,17,0,7434,""
"classroom_fol/correct/FEAriBMRgCYj9Jc7p_inv14.als","classroom_fol","CORRECT","inv14","inv14c",true,false,36,1799687,901968,2711265,1800793,767157,2575570,79,118,112,118,6,4,33,4,168,407,0,33480,""
