UNOPF_EVENTUALLY,UNOPF_HISTORICALLY,1,3
BOP_SINCE,UNOPF_ALWAYS,1,2
BOP_IMPLIES,UNOPF_ALWAYS,2,67
UNOPF_LONE,BOPEXPR_JOIN,1,632
LIST_FORMULA_1,BOP_NOT_IN,3,10
BOP_IN,BOPEXPR_DOMAIN,1,2
BOPEXPR_JOIN,iden,2,3
Dummy for ref,UNOPF_SOME,1,404
BOPEXPR_MINUS,BOPEXPR_ARROW,1,4
LIST_FORMULA_1,UNOPF_NOT,2,13
LIST_FORMULA_2,UNOPF_ALWAYS,1,8
BOPEXPR_INTERSECT,BOPEXPR_MINUS,1,1
UNOPF_ONCE,BOP_IMPLIES,1,1
LIST_FORMULA_1,BOP_NEQ,6,2
LIST_FORMULA_2,UNOPF_NO,2,3
BOP_UNTIL,QT_FORMULA,1,2
LIST_FORMULA_1,UNOPF_HISTORICALLY,2,20
Dummy for ref,BOP_IMPLIES,1,32
RELDECL_1,UNOPE_ONE,1,66
BOPEXPR_PLUS,Dummy for var,2,199
LIST_FORMULA_1,UNOPF_NO,2,65
BOP_NOT_IN,BOPEXPR_INTERSECT,1,3
BOP_EQ,BOPEXPR_INTERSECT,2,4
BOP_NEQ,Dummy for field,1,12
BOP_IMPLIES,BOP_NOT_IN,1,142
UNOPF_NOT,QT_FORMULA,1,24
QT_FORMULA,UNOPF_ALWAYS,1,274
BOPEXPR_INTERSECT,BOPEXPR_JOIN,1,774
Dummy for ref,UNOPE_TRANSPOSE,1,1
LIST_FORMULA_1,LIST_FORMULA_2,4,2
BOPEXPR_JOIN,UNOPE_PRIME,2,365
BOP_IMPLIES,BOP_LT,2,2
BOPEXPR_,BOPEXPR_JOIN,1,92
RELDECL_0,Dummy for field,2,5
BOPEXPR_JOIN,UNOPE_PRIME,1,2
LIST_FORMULA_2,BOP_IMPLIES,1,75
BOP_IN,BOPEXPR_MINUS,2,60
UNOPE_PRIME,Dummy for sig,1,68
LIST_FORMULA_1,UNOPF_AFTER,2,15
UNOPE_TRANSPOSE,BOPEXPR_JOIN,1,51
BOPEXPR_PLUS,Dummy for field,2,4
QT_FORMULA,UNOPF_NOT,1,78
BOP_NOT_IN,UNOPE_PRIME,1,16
BOP_NOT_IN,iden,2,3
LIST_FORMULA_1,BOP_IMPLIES,3,4
UNOPF_HISTORICALLY,UNOPF_LONE,1,2
Dummy for ref,BOP_IN,2,112
UNOPF_NO,BOPEXPR_INTERSECT,1,664
BOPEXPR_PLUS,iden,1,1
BOP_IMPLIES,UNOPF_LONE,2,4
BOP_IN,Dummy for sig,1,947
UNOPF_ALWAYS,BOP_UNTIL,1,1
ITE_FORMULA,BOP_NOT_IN,3,4
BOP_SINCE,UNOPF_NO,2,2
QT_FORMULA,UNOPF_AFTER,1,2
UNOPF_HISTORICALLY,UNOPF_NO,1,24
BOPEXPR_ANY_ARROW_LONE,Dummy for sig,1,4
LIST_FORMULA_2,<END>,10,2
BOP_IN,BOPEXPR_INTERSECT,2,13
BOP_NOT_IN,BOPEXPR_,2,1
BOP_IN,BOPEXPR_PLUS,2,303
BOP_UNTIL,UNOPF_HISTORICALLY,1,1
RELDECL_1,Dummy for var,4,1
LIST_EXPR_1,Dummy for var,1,3
BOPEXPR_ONE_ARROW_ONE,Dummy for sig,2,1
BOP_EQ,BOPEXPR_PLUS,2,39
QT_FORMULA,RELDECL_0,3,3925
BOP_IMPLIES,BOP_EQ,2,303
Dummy for ref,UNOPF_BEFORE,1,2
ITE_FORMULA,BOP_IN,2,2
BOP_NOT_IN,UNOPE_RCLOSURE,1,1
LIST_FORMULA_2,BOP_IN,5,14
BOPEXPR_INTERSECT,Dummy for var,2,17
UNOPF_HISTORICALLY,BOP_IN,1,7
BOP_IMPLIES,UNOPF_NOT,2,15
LIST_FORMULA_1,UNOPF_ONE,1,2
UNOPF_NO,UNOPE_TRANSPOSE,1,2
LIST_FORMULA_1,BOP_IMPLIES,4,1
UNOPF_HISTORICALLY,UNOPF_EVENTUALLY,1,1
BOP_EQ,BOPEXPR_ARROW,2,2
BOP_IN,BOPEXPR_JOIN,1,1592
BOP_RELEASES,BOP_IN,1,37
UNOPF_EVENTUALLY,BOP_NOT_IN,1,83
LIST_FORMULA_1,BOP_IMPLIES,2,31
UNOPF_ONCE,BOP_IN,1,9
BOP_IN,iden,2,220
ITE_FORMULA,UNOPF_SOME,1,1
LIST_FORMULA_1,QT_FORMULA,1,100
LIST_FORMULA_1,BOP_SINCE,2,3
UNOPF_SOME,BOPEXPR_PLUS,1,2
BOPEXPR_DOMAIN,Dummy for sig,1,46
BOP_IN,BOPEXPR_ONE_ARROW_ONE,2,5
LIST_FORMULA_2,QT_FORMULA,3,4
BOP_IN,UNOPE_PRIME,2,11
LIST_FORMULA_1,QT_FORMULA,2,102
