elapsedNanos,usedHeapBytes,activeWorkers,phaseCounts
446803812,58226024,8,"raw-ast=8"
456884215,107337800,8,"normalize-alpha-beta-branch=1;raw-ast=7"
466955839,163335424,7,"normalize-temporal-skeleton=1;raw-ast=7"
477025222,217861376,8,"raw-ast=8"
487115926,266781504,8,"normalize-saturation=1;raw-ast=7"
497201769,77931792,8,"masg=1;normalize-temporal-skeleton=1;raw-ast=5"
507287043,129426888,8,"masg=1;normalize-temporal-skeleton=2;raw-ast=5"
517366386,181942584,8,"masg=1;raw-ast=7"
527456139,233140688,8,"normalize-temporal-skeleton=1;raw-ast=7"
542520609,60198488,8,"normalize-prenex=1;normalize-reachable-egraph=1;raw-ast=5"
552599942,110539256,8,"masg=1;raw-ast=7"
562696986,160006216,8,"masg=1;normalize-aci=1;normalize-prenex=1;normalize-temporal-skeleton=2;raw-ast=3"
572766209,212097568,8,"raw-ast=7"
582834863,262766664,8,"raw-ast=8"
592905056,320188328,8,"raw-ast=8"
602971179,378993904,8,"raw-ast=8"
613066693,79473072,8,"normalize-post-prenex-nnf=1;raw-ast=7"
623145426,134851920,8,"raw-ast=8"
633209239,192719280,8,"masg=1;raw-ast=7"
643283343,260709744,8,"masg=1;raw-ast=7"
653354846,327789904,8,"raw-ast=8"
663429260,395645440,8,"normalize-reachable-egraph=1;raw-ast=7"
673509123,114427000,8,"distance=2;masg=1;raw-ast=5"
683583416,172297408,8,"raw-ast=8"
693672700,236439000,8,"normalize-post-prenex-nnf=1;raw-ast=7"
703759163,296868416,7,"normalize-alpha-beta-branch=1;normalize-prenex=1;raw-ast=6"
713842327,355625296,8,"raw-ast=8"
725160212,85466248,8,"normalize-saturation=1;raw-ast=7"
735260995,137376928,8,"distance=1;normalize-alpha-beta-branch=1;raw-ast=6"
745354219,198148120,8,"normalize-saturation=1;raw-ast=7"
755446022,249285720,8,"normalize-temporal-skeleton=1;raw-ast=7"
765547906,312644472,8,"masg=1;normalize-prenex=1;raw-ast=6"
775628529,379753336,8,"raw-ast=8"
785716023,98294656,8,"normalize-alpha-beta-branch=1;raw-ast=7"
795797646,160160640,8,"normalize-post-prenex-nnf=1;raw-ast=7"
805878070,217832320,7,"normalize-temporal-skeleton=1;raw-ast=7"
815957323,280746880,8,"normalize-reachable-egraph=1;raw-ast=7"
826047887,342612864,8,"raw-ast=8"
836128970,403430272,8,"normalize-temporal-skeleton=1;raw-ast=7"
846216844,456907648,8,"raw-ast=8"
856298587,522967936,7,"normalize-post-prenex-nnf=1;raw-ast=7"
868917284,105812592,8,"normalize-aci=1;normalize-post-prenex-nnf=1;raw-ast=6"
878992957,155095664,8,"raw-ast=8"
889069481,224301680,8,"raw-ast=8"
899147084,287216240,8,"masg=1;normalize-aci=1;normalize-prenex=1;raw-ast=5"
909223587,351179376,8,"raw-ast=8"
919302501,421433968,8,"raw-ast=8"
929386554,489591408,8,"normalize-alpha-beta-branch=1;normalize-temporal-skeleton=1;raw-ast=6"
939458508,546214512,8,"raw-ast=8"
949540221,117876240,8,"masg=1;raw-ast=7"
959622595,179716192,7,"masg=1;raw-ast=7"
969701258,239485024,8,"raw-ast=8"
979787911,300302432,7,"normalize-prenex=1;raw-ast=7"
989870305,362168416,8,"masg=1;raw-ast=7"
999926538,427180128,8,"masg=2;normalize-saturation=1;raw-ast=5"
1010016462,494288992,7,"distance=1;raw-ast=7"
1020095705,566640736,8,"raw-ast=8"
1030181838,149859664,7,"raw-ast=7"
1040245692,212774224,0,""
1050302265,212795160,0,""
