relativePath,questionSet,statusFolder,invariantId,levenshteinDistance,rawAstDistance,canonicalDistance,levenshteinSize,rawAstSize,canonicalSize,levenshteinDistanceRatio,rawAstDistanceRatio,canonicalDistanceRatio,candidateReward,rewardError,rewardPoolSize,rewardErrorMessage
"classroom_fol/both/6nG5jSupXZTbeBE3r_inv11.als","classroom_fol","BOTH","inv11",55,26,15,90,36,18,0.611111,0.722222,0.833333,0.100800,0.899200,100,
"classroom_fol/both/6pc8nsR5yYL4xQmLL_inv9.als","classroom_fol","BOTH","inv9",4,1,2,86,30,19,0.046512,0.033333,0.105263,0.000000,1.000000,100,
"classroom_fol/both/6q2geukmFctccAQXf_inv14.als","classroom_fol","BOTH","inv14",42,19,11,81,33,16,0.518519,0.575758,0.687500,0.423000,0.577000,100,
"classroom_fol/both/6qKcP3enB55nguomH_inv14.als","classroom_fol","BOTH","inv14",53,28,13,86,31,16,0.616279,0.903226,0.812500,0.130000,0.870000,100,
"classroom_fol/both/6th2s9SruA4kbewjd_inv5.als","classroom_fol","BOTH","inv5",23,9,3,62,23,11,0.370968,0.391304,0.272727,0.044000,0.956000,100,
"classroom_fol/both/6theGPJk4Y5udJ2He_inv12.als","classroom_fol","BOTH","inv12",51,34,6,107,38,18,0.476636,0.894737,0.333333,0.999800,0.000200,100,
"classroom_fol/both/6uTfxDNpZrk67GqYE_inv12.als","classroom_fol","BOTH","inv12",22,3,21,106,38,25,0.207547,0.078947,0.840000,0.009200,0.990800,100,
"classroom_fol/both/6vGQ4wGX6y4fv7xZ2_inv14.als","classroom_fol","BOTH","inv14",48,20,11,85,33,16,0.564706,0.606061,0.687500,0.311600,0.688400,100,
"classroom_fol/both/6x57PegH2vSTCDBiH_inv11.als","classroom_fol","BOTH","inv11",49,18,15,90,36,18,0.544444,0.500000,0.833333,0.000000,1.000000,100,
"classroom_fol/both/753pfAhoe6zjJo3B3_inv13.als","classroom_fol","BOTH","inv13",49,26,12,78,32,18,0.628205,0.812500,0.666667,0.010000,0.990000,100,
"classroom_fol/both/75ecJRwE4zSL3rbe3_inv11.als","classroom_fol","BOTH","inv11",40,20,12,77,31,16,0.519481,0.645161,0.750000,0.260100,0.739900,100,
"classroom_fol/both/7GCdHyM7Eqj7irwxt_inv14.als","classroom_fol","BOTH","inv14",45,19,10,86,33,16,0.523256,0.575758,0.625000,0.127400,0.872600,100,
"classroom_fol/both/7GkbSmbi6oFDb5aJw_inv11.als","classroom_fol","BOTH","inv11",22,4,2,104,38,22,0.211538,0.105263,0.090909,0.010000,0.990000,100,
"classroom_fol/both/7GtEHrSuJ8y5k2FkS_inv11.als","classroom_fol","BOTH","inv11",39,18,13,89,36,18,0.438202,0.500000,0.722222,0.010000,0.990000,100,
"classroom_fol/both/7Jjym6qK4otrWhbZp_inv12.als","classroom_fol","BOTH","inv12",28,18,8,57,25,11,0.491228,0.720000,0.727273,0.079200,0.920800,100,
"classroom_fol/both/7KSTCELwEMCrKctB9_inv4.als","classroom_fol","BOTH","inv4",8,3,2,22,7,6,0.363636,0.428571,0.333333,0.000000,1.000000,100,
"classroom_fol/both/7KzgkuDqY7Q4ZfQ4Z_inv14.als","classroom_fol","BOTH","inv14",31,38,22,123,46,27,0.252033,0.826087,0.814815,0.080000,0.920000,100,
"classroom_fol/both/7Pn5k5zQ5Fg9P36gs_inv11.als","classroom_fol","BOTH","inv11",8,17,10,116,36,18,0.068966,0.472222,0.555556,0.990000,0.010000,100,
