elapsedNanos,usedHeapBytes,activeWorkers,phaseCounts
1099211651,192799416,1,"raw-ast=1"
1109279344,205382328,1,"raw-ast=1"
1119358348,44164400,1,"raw-ast=1"
1129431421,55698736,1,"raw-ast=1"
1139512545,66184496,1,"raw-ast=1"
1149591928,75621680,1,"raw-ast=1"
1159666772,84010288,1,"raw-ast=1"
1169755535,92398896,1,"raw-ast=1"
1179809869,100787504,1,"raw-ast=1"
1189881512,114418992,1,"raw-ast=1"
1199947435,128050480,1,"raw-ast=1"
1210015959,138536240,1,"raw-ast=1"
1220074442,151119152,1,"raw-ast=1"
1230146296,163702064,1,"raw-ast=1"
1240214549,176284976,1,"raw-ast=1"
1250278012,187819312,1,"raw-ast=1"
1260344076,199353648,1,"raw-ast=1"
1270400299,214033712,1,"raw-ast=1"
1280478463,55875416,0,"normalize-temporal-skeleton=1"
1290571716,69506904,1,"raw-ast=1"
1300632380,82089816,1,"raw-ast=1"
1310697093,95721304,1,"raw-ast=1"
1320762106,108304216,1,"raw-ast=1"
1330831680,121935704,1,"raw-ast=1"
1340923633,135567192,1,"raw-ast=1"
1351001917,148150104,1,"raw-ast=1"
1361069910,161781592,1,"raw-ast=1"
1371141024,174364504,1,"raw-ast=1"
1381221617,186947416,1,"normalize-saturation=1"
1391293931,198481752,1,"raw-ast=1"
1401365234,211064664,1,"normalize-temporal-skeleton=1"
1411437258,51075424,1,"normalize-temporal-skeleton=1"
1421512491,62609760,1,"raw-ast=1"
1431582785,76241248,1,"raw-ast=1"
1441647028,89872736,1,"raw-ast=1"
1451719431,104552800,1,"normalize-nnf=1"
1461819305,118184288,1,"raw-ast=1"
1471900509,132864352,1,"raw-ast=1"
1481971522,146495840,1,"raw-ast=1"
1492039336,159078752,1,"raw-ast=1"
1502110769,173758816,1,"raw-ast=1"
1512181763,187390304,1,"raw-ast=1"
1522261706,199973216,1,"raw-ast=1"
1532332999,212556128,1,"raw-ast=1"
1542394563,55321536,1,"raw-ast=1"
1552464406,69892000,1,"raw-ast=1"
1562533190,84572064,1,"raw-ast=1"
1572604293,98203552,1,"raw-ast=1"
1582672976,110786464,1,"raw-ast=1"
1592746120,125466528,1,"raw-ast=1"
1602815313,139098016,1,"raw-ast=1"
1612883717,151680928,1,"raw-ast=1"
1622954890,164263840,1,"raw-ast=1"
1633023683,178943904,1,"raw-ast=1"
1643092067,191526816,1,"raw-ast=1"
1653159850,206206880,1,"raw-ast=1"
1663229244,220886944,1,"raw-ast=1"
1673302747,64093184,1,"raw-ast=1"
1683372091,76676096,0,"normalize-aci=1"
1693441114,89259008,1,"raw-ast=1"
1703509897,100793344,1,"raw-ast=1"
1713580121,111279104,1,"raw-ast=1"
1723650044,122813440,1,"raw-ast=1"
1733723707,135396352,1,"raw-ast=1"
1743794801,149027840,1,"raw-ast=1"
1753902875,161610752,1,"distance=1"
1763990398,175242240,1,"raw-ast=1"
1774061622,188873728,1,"raw-ast=1"
1784130365,202505216,1,"raw-ast=1"
1794202069,217185280,1,"raw-ast=1"
1804270552,232913920,1,"raw-ast=1"
1814338975,248642560,1,"raw-ast=1"
1824401209,263322624,1,"raw-ast=1"
1834469282,69992080,1,"raw-ast=1"
1844534175,84672144,1,"raw-ast=1"
1854608059,99352208,1,"normalize-aci=1"
1864682932,115080848,1,"raw-ast=1"
1874764006,128712336,1,"raw-ast=1"
1884789179,143253832,1,"raw-ast=1"
1894845802,158072464,1,"raw-ast=1"
1904901265,171703952,1,"normalize-temporal-skeleton=1"
1914954859,186384016,1,"raw-ast=1"
1925024902,201064080,1,"raw-ast=1"
1935095785,214695568,1,"raw-ast=1"
1945163749,229375632,1,"raw-ast=1"
1955231232,245104272,1,"raw-ast=1"
1965301036,258735760,1,"raw-ast=1"
1976100076,69859168,1,"raw-ast=1"
1986171779,82474864,1,"raw-ast=1"
1996247393,97122144,1,"raw-ast=1"
2006322966,111802208,1,"raw-ast=1"
2016393740,125433696,1,"raw-ast=1"
2026465623,142210912,1,"raw-ast=1"
2036535286,155842400,1,"raw-ast=1"
2046615710,170522464,1,"raw-ast=1"
2056692473,184153952,0,"normalize-alpha-beta-branch=1"
2066764827,197785440,1,"raw-ast=1"
2076835980,210368352,1,"raw-ast=1"
2086905014,223999840,1,"raw-ast=1"
2096977577,236582752,1,"masg=1"
2107046440,250214240,1,"raw-ast=1"
2117115494,263845728,1,"raw-ast=1"
2129138105,75412232,1,"raw-ast=1"
2139210049,89043720,1,"raw-ast=1"
2149279122,101626632,1,"raw-ast=1"
2159363786,116306696,1,"raw-ast=1"
2169432249,129938184,1,"normalize-post-prenex-nnf=1"
2179496192,144618248,1,"raw-ast=1"
2189571506,159298312,1,"raw-ast=1"
2199642639,173978376,1,"raw-ast=1"
2209724893,188658440,1,"raw-ast=1"
2219803906,202289928,1,"raw-ast=1"
2229876050,218018568,1,"raw-ast=1"
2239957623,231650056,1,"masg=1"
2250040637,247378696,1,"normalize-aci=1"
2260074850,262058760,1,"raw-ast=1"
2270149813,277787400,1,"raw-ast=1"
2280246147,86506464,1,"raw-ast=1"
2290334891,101186528,1,"raw-ast=1"
2300408334,115866592,1,"raw-ast=1"
2310537478,129498080,1,"raw-ast=1"
2320691462,144178144,1,"raw-ast=1"
2330771126,158858208,1,"raw-ast=1"
2340816659,172489696,1,"raw-ast=1"
2350891322,187169760,1,"raw-ast=1"
2360961206,201849824,1,"raw-ast=1"
2371029119,216529888,1,"raw-ast=1"
2381100443,230161376,0,"raw-ast=1"
2391167596,245890016,1,"normalize-post-prenex-nnf=1"
2401230179,260570080,1,"raw-ast=1"
2411291783,274201568,1,"raw-ast=1"
2421355726,85290928,1,"raw-ast=1"
2431417369,99970992,1,"raw-ast=1"
2441490723,115699632,1,"raw-ast=1"
2451556296,129331120,1,"raw-ast=1"
2461615399,144011184,1,"raw-ast=1"
2471678353,156594096,1,"raw-ast=1"
2481744546,170225584,1,"raw-ast=1"
2491810259,183857072,1,"raw-ast=1"
2501880173,200634288,1,"raw-ast=1"
2511950146,216362928,1,"raw-ast=1"
2522019690,228945840,1,"raw-ast=1"
2532090543,243658688,1,"raw-ast=1"
2542166647,257257392,1,"normalize-prenex=1"
2552226960,271937456,1,"raw-ast=1"
2562297353,285568944,1,"raw-ast=1"
2572376757,95147888,1,"raw-ast=1"
2582503481,108779376,1,"masg=1"
2592564364,123459440,1,"raw-ast=1"
2602622307,138139504,1,"raw-ast=1"
2612685901,153868144,1,"masg=1"
2622748394,169596784,1,"raw-ast=1"
2632786387,184276848,1,"masg=1"
2642844470,201054064,1,"raw-ast=1"
2652903703,215734128,1,"raw-ast=1"
2662959327,230414192,1,"raw-ast=1"
2673016260,246142832,1,"raw-ast=1"
2683070613,260822896,1,"normalize-prenex=1"
2693126056,275502960,1,"masg=1"
2703191460,290183024,1,"raw-ast=1"
2713266273,100699136,1,"raw-ast=1"
2723332796,114330624,1,"raw-ast=1"
2733399570,130059264,1,"raw-ast=1"
2743457663,144739328,1,"raw-ast=1"
2753523096,159419392,1,"raw-ast=1"
2763582540,174099456,1,"raw-ast=1"
2773649183,190876672,1,"raw-ast=1"
2783711916,205556736,1,"raw-ast=1"
2793776250,221285376,1,"normalize-aci=1"
2803802723,235965440,1,"raw-ast=1"
2813861966,252742656,1,"raw-ast=1"
2823919829,267422720,1,"raw-ast=1"
2833978112,283151360,1,"raw-ast=1"
2844035636,297831424,1,"raw-ast=1"
2854099249,106347168,1,"normalize-temporal-skeleton=1"
2864159562,121027232,1,"raw-ast=1"
2874217636,135707296,1,"raw-ast=1"
2884270489,151435936,1,"raw-ast=1"
2894321932,167164576,1,"normalize-aci=1"
2904381995,181844640,1,"raw-ast=1"
2914445579,196524704,1,"raw-ast=1"
2924508732,211204768,1,"raw-ast=1"
2934573195,225884832,1,"raw-ast=1"
2944644559,239516320,1,"raw-ast=1"
2954711222,254196384,1,"raw-ast=1"
2964770275,268876448,1,"raw-ast=1"
2974837179,285653664,1,"normalize-alpha-beta-branch=1"
2984903302,300333728,1,"raw-ast=1"
2994964545,111422824,1,"masg=1"
3005023769,126102888,1,"raw-ast=1"
3015081502,140782952,1,"raw-ast=1"
3025148855,157560168,1,"raw-ast=1"
3035215129,173288808,1,"raw-ast=1"
3045290762,186920296,1,"raw-ast=1"
3055353745,202648936,1,"raw-ast=1"
3065422349,217329000,1,"raw-ast=1"
3075482522,233057640,1,"normalize-prenex=1"
3085547455,248786280,1,"raw-ast=1"
3095621139,264514920,1,"raw-ast=1"
3105688402,280243560,1,"raw-ast=1"
3115757336,297020776,1,"raw-ast=1"
3126461295,108664960,1,"raw-ast=1"
3136514148,123345024,1,"raw-ast=1"
3146567621,139073664,1,"masg=1"
3156621574,154835088,1,"raw-ast=1"
3166675468,168433792,1,"raw-ast=1"
3176732381,185211008,1,"raw-ast=1"
3186784664,200939648,1,"raw-ast=1"
3196842657,216668288,1,"raw-ast=1"
3206906871,233445504,1,"raw-ast=1"
3216964404,249174144,1,"raw-ast=1"
3227026547,263854208,1,"raw-ast=1"
3237081541,279582848,1,"raw-ast=1"
3247134724,296360064,1,"raw-ast=1"
3257186767,311040128,1,"raw-ast=1"
3267250230,123357560,1,"raw-ast=1"
3277307744,136989048,1,"raw-ast=1"
3287360887,152717688,1,"raw-ast=1"
3297416040,168446328,1,"raw-ast=1"
3307468953,184174968,1,"raw-ast=1"
3317522656,199903608,1,"raw-ast=1"
3327591740,215632248,1,"raw-ast=1"
3337663123,232409464,1,"raw-ast=1"
3347725476,249186680,1,"raw-ast=1"
3357789090,264915320,1,"raw-ast=1"
3367852433,279595384,1,"raw-ast=1"
3377917747,296372600,1,"raw-ast=1"
3387979650,311055312,1,"raw-ast=1"
3398037713,126124280,1,"raw-ast=1"
3408088376,140804344,1,"raw-ast=1"
3418140120,156532984,1,"raw-ast=1"
3428195223,172261624,1,"raw-ast=1"
3438247046,189038840,1,"raw-ast=1"
3448300009,204767480,1,"raw-ast=1"
3458351052,219447544,1,"raw-ast=1"
3468402456,235176184,1,"raw-ast=1"
3478455109,250904824,1,"raw-ast=1"
3488508452,266633464,1,"raw-ast=1"
3498563385,281313528,1,"raw-ast=1"
3508613658,297042168,1,"raw-ast=1"
3518664832,312770808,1,"raw-ast=1"
3528720205,131909008,1,"raw-ast=1"
3538771708,137177440,0,""
