requirement_id	claim_class	claim_sha256
P3-01	U/I	38ae43263de3ae5c80fe60c492bf66afdb85c4f434aaf55d4fa98b7eb1fba686
P3-02	I	121d9cc65d7d9cecfdb855d72dc9a8bb35a7739a1774a5e7e161a9524a49ef1c
P3-03	P	c5733bd96ae6281cc4f3f9fe6d51e66261c20b0b0bf4b3aa426aaa210c7b0fca
P3-04	P	3991aa4c4db10ffcd0bcc1bc0197fda0b30377e422d4804b44dd05fd89bdab89
P3-05	P	55424471ff9ad348d3c3603257809bba4b768fcf53a389c5cb7c799e490ab620
P3-06	P	fa0ab4cd0e16850dd0ec8bdb39c2043837ae3c20ead8ea771b5daafe002a1c67
P3-07	U/P	169eb123f570225f3866ce215ce9558385ef374a795d3849c584282fb840cf91
P3-08	U/P	b3b677e2bbd27f23dd74d92e0010a5db42677ed3443ceb21c68908a9caa0a6e1
P3-09	U/P	680aa55c804d4816f24eebe8bbc5aeff08dd9ba573e589c5fda51f5740fc942f
P3-10	P	413413515277fe133dc56fc4d80e10585618bf045eccafe5ffdd45349fb56ba2
P3-11	P	cb07e2c401b005826f599ccaebea150beb922179ed7f8773e678d07c773bcbaf
P3-12	P	981e681a6eac0f86c48a4aa9a4c95d01b6dafea2492683b66f22eb05f7fe0313
P3-13	I/P	e5f35d45c5799f10455454071df3c72cc22b76b1a6893073126fcfc3f9382ced
P3-14	I/P	d5fc74313d3b13382e223a4b64dd36ed2b4ef0c1ea7eeebb8acad34a58731b0c
P3-15	U/I/P	80da7da76d5f854388a5a5fab6002b0cb2e00160851be975948c14df8545e22c
P3-16	U/I/P	9080df58143d6f8aeaee0b1fa1cc1da32266e19a0995db9424a5ca5b5492de28
P4-01	U/I	a960ef731ffea7cae8081125e29b82017e2b180d8bd545d87c16d94254ca7c61
P4-02	U/I	084ce45f894a4e20927c30843e8aa7851fada2f4385639bd2e3b23a0d3bff5c5
P4-03	U/I	462917090ce0f6a7af44e4d63883a8fcf34de77d8d03d56372cc2a17c885a4a2
P4-04	U/P	ab47c5a21bf9acba434c49c0796b183d63d1a40b8d08fb61c120d67e948d4624
P4-05	U/I	331b981e2d59da0d84483d84d8c8cc19d07c4ce73ca89bfde8aaf0f6bfdb3c54
P4-06	U/P	f2cfca69464ef3a1113b9efa31d2eaa5d82f65d4221e5ea1c920cb2c17791f2a
P4-07	U/I	0bd822921ae2c9f39329fd0cc21480548965c0e02e22a6470e479b1d93ed0a99
P4-08	U/I	9e9ffde2a03d7ad605388bba45460064d6106d4be38dbbafeff2fc2a049af8fe
P4-09	U/I	0a39e5dd9a5342d92f97ea8567bd2ab76a4d4753c6e12d8d9cbe475509782321
P4-10	U/I	4a8255c26148e3ecd590fe0346fcfa764a892d9800d2883c65c9bf2eaa9682e0
P4-11	P	4d40daa73cffd3cc30363c0ddb3f0a5467907489b67460490c28157b37b52fe6
P4-12	P	ff4b8bf192cab83740fe77850b109b4de517715ed1447ab81c700aa3385380ff
P5-01	U/I	1058e7eb242b149f09c6fcd68fc12ed5b9d39375479e803ec7024ebde55e692b
P5-02	U/I	4f67c3bf1336bf18d475a910b2bd81df88a81ec31e1c395c60458a637c766d87
P5-03	U/I	3ffdb7ee391b9a646efc73e75a12d77f50fad794b7033c7e289749b4aa7a158f
P5-04	U/I	8fbb71041b3a429e177e279f94d18f3269ccaeb4d28d5fc05ae951c8e93ca7b1
P5-05	U/I	4252bf755653e6ab1d7954ae66372c23a5df58520d532a0dfef38b7d46ec0652
P5-06	U/I	44498c99ed4894a86433afcd0d0262fe25e136bb0da4574bebf4a2a4fd4ab25e
P5-07	U/I	da74ebe0acd1ce6b63daadf6b3b6d1abd901208b31d3e9381134dc2b5130be83
P5-08	U/I	7b2c8c1094ecd7448db125f0a836fbd21a155b902aee0750477deb109113262f
P5-09	U/I	a783f4e5b721db166f6236966d15ee0bb748825dea1f8afa963b46a94dfd59c4
P5-10	I	fe6e99245458df62856a377aa4b006ea615e6c389fdf31d08fc6abdb045795d1
P5-11	U/I	d47927aa3fbf53685a9009de72bf8e38a3aa860736c74f22d75ebea29e9e7050
P5-12	U/I	40d847f6a1f63a52b785648d6d34c8d59497e7312f0500313a46120c65026cf1
P5-13	U/P	e47c5dc600c156f5a2bc38faf25a1b6f2494a480722e97c2eb56436f4de315b7
P5-14	U/I	99fcfbd81695b38d365749fcceda4328aa3b05d885b0abe2e0bc666d90101be4
P5-15	U/I	14959fe8a629b4661550cf2c51b90cb123c9bc6e9a53974d9201e6abd465c2b1
P6-01	U/I	e625a3fff5e8782c07ad6244c747ac604a4d7d38a8d00826deeab4a69fd8da4f
P6-02	U/I	142c38ccfab12180e1ded0709fd6b76e62d31ba3024ec6525001f9ee71abefb0
P6-03	U/I	45f999c757b05feda276c39aefd8c3cd7a5941e1516d0d1ef3377bc0e54a4c92
P6-04	U/I	7b0dee34e7f1ce3e1774ef70661ff0249a5f8cb0ac81f3a0b6c96860099f471d
P6-05	U/P	b34e6b29a65b25d7df3172e4cbe2616823eddba0802a3fb025b956d81d5cbee9
P6-06	U/P	27a44c285ef9c3d94f0192e868dbdef31b75f30b437c4302d01f45855bf948fb
P6-07	F/I	ae07e21c44f6e74f8dba90cf18facc04a64364d71692260af160b77098267802
P6-08	I	93da2981342fe07d284f85505347dc6f6eee76234b4fb95cd0d4498ea7c5560f
P6-09	U/P	6a274f121f2919d837dbc11d0f4e7aa20981d1512883b4ef1baa8a963e87e48a
P6-10	U/I	27490ad0179b6c1b991380cda7a4a6d698d969eee454f90920862b4c16c64761
P6-11	P	e7ebd891d005c44dbaa58c5b4684fc9862849738159688111f38f8c1a7c09f8d
P6-12	U/I/P	81348c205914caa38cb968d9ae5d8003ee87f20b7ae4540d6b1f8a5b74c21e0b
P6-13	U/P	8a84a56322463d2907cad93c9d40a45df948b23fbdb49071c19c3de9a52bb849
M-01	U/I	411f909cf04e36c7cf147a39e439a8ac4e1f125648ac8bc49ff04e7641f52fb0
M-02	U/I	7a030f495ce3d5c53c5a03316e4471ec0ec56136f0dbad8f568610e31259412c
M-03	U/I	153d1ab1172fc03481af938c9ec7933e2c021a0e8fa37d1179b351bb7630cb0d
M-04	U/I	daafd9ba0fbc0819031fb1db0713ab6e57f11a2d46b43e65334a707aa5c24620
M-05	U/I	ae25f1591bf2444e4a790eecefc661e0d7fb664f85f4489880e5ff3fd4df71e5
M-06	U/I	78c9f0d452f13eabb45b8498cb31675eae64bc22b1ba03b500ecae11f5626b35
M-07	U/I	30b8d68cd64575f4f43092267b09821ce508aa0acf5aa17d714ee089dfd1b8bc
M-08	I	49ce4ec35da6198f8a0d4d474bb1285a9036dfd0fb679f18e74acc339d701e71
